"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,9020,980,9789,9995,10000,211,5,0
"2",2,8946,1054,9792,9985,10000,208,15,0
"3",3,8565,1435,9589,9930,10000,411,70,0
"4",4,8635,1365,9758,9982,10000,242,18,0
"5",5,8813,1187,9777,9981,10000,223,19,0
"6",6,8734,1266,9748,9981,10000,252,19,0
"7",7,8643,1357,9799,9978,10000,201,22,0
"8",8,8510,1490,9736,9974,10000,264,26,0
"9",9,8618,1382,9512,9865,10000,488,135,0
"10",10,8990,1010,9576,9823,10000,424,177,0
"11",11,8722,1278,9584,9906,10000,416,94,0
"12",12,8726,1274,9594,9860,10000,406,140,0
"13",13,8954,1046,9525,9933,10000,475,67,0
"14",14,9084,916,9752,9975,10000,248,25,0
"15",15,8933,1067,9635,9897,10000,365,103,0
"16",16,8881,1119,9574,9945,10000,426,55,0
"17",17,8846,1154,9904,9952,10000,96,48,0
"18",18,9182,818,9841,9948,10000,159,52,0
"19",19,8985,1015,9718,9984,10000,282,16,0
"20",20,8923,1077,9638,9915,10000,362,85,0
"21",21,8912,1088,9738,9904,10000,262,96,0
"22",22,8770,1230,9794,9991,10000,206,9,0
"23",23,8707,1293,9665,9999,10000,335,1,0
"24",24,8921,1079,9851,9939,10000,149,61,0
"25",25,8634,1366,9833,9928,10000,167,72,0
"26",26,8946,1054,9827,9994,10000,173,6,0
"27",27,8840,1160,9919,9975,10000,81,25,0
"28",28,504,41,544,545,545,1,0,0
